aczkolwiek albeit
alejka aisle
arkusz sheet
autor author
bazowy underlying
bezcelowo aimlessly
bezczynny idle
bezgraniczny limitless
blady pale
bladych grizzled
blask blaze
bodziec urge
bogactwo wealth
brzemienny fraught
brzuszek belly
brzytwa razor
bˆyszcze† glint
caˆkowicie entirely
cecha feature
cechy traits
cenny valuable
cewka coil
charakterystyczny distinguishing
chciwo˜† avarice
chocia¾ though
chropowaty rugged
chwia† stagger
ciemny dim
czubaty tufted
czujno˜† vigilance
czyny deeds
decent przyzwoity
devour po¾era†
dmucha† puff
dobroczynno˜† charity
doda† append
dokona† perform
dopasowania fits
dosotsowa† adjust
dost©pno˜† accesbility
dost©pny accesible
dotyczy† involves
dygota† shivered
dynda† dungle
d¥¾y† pursue
d«wiga† hoisted
emigranci expats
emocjonuj¥co excitingly
ewoluowa† evolve
faˆszywie insincerely
flota fleet
gabinet closet
garb hump
gest gesture
gorliwy eager
grono bunch
gro«ba threat
grubiaäski rude
gˆodny famished
gˆ¢d famine
g©sto˜† density
g©sty thick
hojnie profusely
hormonogram schedule
iglaste conifer
iloraz quotient
inwigilacja surveillance
istotny crucial
izba chamber
jednocze˜nie parallel
jedynie merely
karabiny rifles
kaˆu¾a puddle
kierowa† conduct
kipie† churning
koja berth
kolec thorn
kolejny sabsequent
komin chimney
komora ventricle
kopiec cairn
kopuˆa dome
krajobraz landscape
kruchy fragile
kuca† croach
kurczy† shrunk
kwestia issue
kwitn¥cy thriving
labirynt maze
ledwo barely
legendarny fabled
liter¢wki typos
li˜ciaste deciduous
lo¾e lodges
l˜ni¥ce gleaming
majestatyczny grandiose
majority wi©kszo˜†
mieszkalny habitable
mieszkaäcy inhabitants
mina landmine
miˆo˜nik aficionado
mniejszo˜† minority
mn¢stwo plenty
moczy† soak
moda vogue
mrukn¥† mutter
my˜l thought
m©tny thickly
naby† ecquire
nadchodz¥cy toward
naddatek surplus
nadmuchiwane inflatable
nadzwyczajny remarkeble
najecha† invade
najwyra«niej apparently
najwy¾szy supreme
nalega† insist
namiot tent
napad assault
nap¢j beverage
nast©pstwo succession
nast©puj¥cy ensuing
natomiast whereas
nawyk habit
niecierpliwie impatiently
